                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.0844,                 4.8435,                 4.6007,                0.00121,                0.33333,                0.00545,                0.00127,                 4.2945,                 4.6835,                 4.1588,                      0,                      0,                      0
                      2,                 3.7217,                 4.7539,                 4.4579,                0.00117,                0.33333,                 0.0077,                0.00169,                 4.2943,                 4.6833,                 4.1587,              1.901e-05,              1.901e-05,              1.901e-05
                      3,                 3.9372,                 4.4666,                  4.593,                0.00118,                0.33333,                0.00782,                0.00169,                 4.2941,                 4.6829,                 4.1586,              3.604e-05,              3.604e-05,              3.604e-05
                      4,                 4.0425,                 4.4901,                 4.4664,                0.00117,                0.33333,                0.01429,                0.00313,                 4.2939,                 4.6829,                 4.1585,              5.109e-05,              5.109e-05,              5.109e-05
                      5,                 3.8051,                  4.362,                 4.4558,                  0.001,                0.26667,                0.01868,                0.00394,                 4.2937,                 4.6825,                 4.1584,              6.416e-05,              6.416e-05,              6.416e-05
                      6,                 3.9288,                 4.2826,                 4.4724,                0.00096,                0.26667,                0.01048,                0.00235,                 4.2935,                 4.6825,                 4.1583,              7.525e-05,              7.525e-05,              7.525e-05
                      7,                 3.7371,                 4.3511,                 4.6294,                0.00095,                0.26667,                0.01164,                0.00219,                 4.2933,                 4.6822,                 4.1583,              8.436e-05,              8.436e-05,              8.436e-05
                      8,                 3.7477,                 4.3888,                 4.4638,                0.00118,                0.33333,                0.01044,                0.00231,                 4.2932,                 4.6817,                 4.1583,              9.149e-05,              9.149e-05,              9.149e-05
                      9,                 3.9259,                 4.4224,                 4.5424,                0.00123,                0.33333,                 0.0014,                0.00026,                 4.2932,                  4.681,                 4.1584,              9.664e-05,              9.664e-05,              9.664e-05
                     10,                 3.6825,                 4.3819,                 4.3979,                0.00097,                0.26667,                0.00155,                0.00025,                 4.2933,                 4.6801,                 4.1585,              9.981e-05,              9.981e-05,              9.981e-05
                     11,                 3.6828,                 5.8509,                 4.4601,                0.00098,                0.26667,                 0.0017,                0.00021,                 4.2934,                 4.6795,                 4.1587,               0.000101,               0.000101,               0.000101
                     12,                 4.0667,                 5.9238,                 4.4588,                 0.0012,                0.33333,                0.00173,                0.00028,                 4.2937,                  4.679,                  4.159,             0.00010021,             0.00010021,             0.00010021
                     13,                 4.0822,                 5.3495,                  4.515,                 0.0012,                0.33333,                0.00148,                0.00024,                 4.2941,                 4.6785,                 4.1594,              9.744e-05,              9.744e-05,              9.744e-05
                     14,                 4.0315,                 5.4969,                 4.3471,                0.00123,                0.33333,                0.00165,                0.00025,                 4.2945,                 4.6782,                 4.1598,              9.269e-05,              9.269e-05,              9.269e-05
                     15,                 3.9942,                 5.4761,                 4.3327,                0.00118,                0.33333,                 0.0016,                0.00028,                  4.295,                 4.6779,                 4.1604,              8.596e-05,              8.596e-05,              8.596e-05
                     16,                    3.9,                 5.5344,                 4.2468,                0.00121,                0.33333,                0.00167,                0.00032,                 4.2956,                 4.6776,                 4.1609,              7.725e-05,              7.725e-05,              7.725e-05
                     17,                 3.8839,                 4.9344,                 4.2219,                0.00127,                0.33333,                0.00174,                0.00033,                 4.2963,                 4.6777,                 4.1615,              6.656e-05,              6.656e-05,              6.656e-05
                     18,                 3.7231,                 5.2761,                 4.1526,                0.00127,                0.33333,                0.00174,                0.00033,                 4.2963,                 4.6777,                 4.1615,              5.389e-05,              5.389e-05,              5.389e-05
                     19,                 4.0498,                 5.5442,                 4.1674,                0.00125,                0.33333,                0.00164,                0.00025,                 4.2977,                 4.6781,                 4.1627,              3.924e-05,              3.924e-05,              3.924e-05
                     20,                 3.5968,                  5.096,                 4.2453,                0.00125,                0.33333,                0.00164,                0.00025,                 4.2977,                 4.6781,                 4.1627,              2.261e-05,              2.261e-05,              2.261e-05
